stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
84e4e5dc-e0a8-4d4a-8017-4b16cbe16e8c,1614,Marlington/Grissom Wbnd,144,37.21304,-80.39409,0
95a81129-838d-4eeb-b313-7adfa7cb009c,1611,New Kent/Loudon Ebnd,141,37.20996,-80.39565,0
25572a67-fc89-461e-b026-e08db88b8eb3,1612,New Kent/Sussex Ebnd,142,37.21147,-80.39368,0
a715e354-13cf-409d-b83d-a568929a1121,1617,Marlington/Main Wbnd,147,37.21146,-80.39962,0
4f7b19a3-f645-4179-8cff-1778caadd427,1618,Main/Landsdowne Nbnd,148,37.21333,-80.40007,0
a7f684d8-ed51-410d-b0b6-11dfd33da4ea,1615,Marlington/Emerald Wbnd,145,37.21246,-80.39607,0
61d6a5e5-e4f3-4d06-b0bd-d17313c1f4bb,1616,Marlington/Grayland Wbnd,146,37.21189,-80.39805,0
ae97c90e-1b2b-404a-8190-3c4f0117ec40,1637,Prosperity/Industrial Park Nbnd,805,37.19422,-80.39758,0
e2eb1289-4714-41b1-aa25-6cb70f74e9c4,1638,Professional Park Nbnd,806,37.19713,-80.40028,0
15ada27c-0e66-4f0c-b84f-49b36871a000,1644,Main/South Park Sbnd,813,37.20017,-80.40034,0
71e4aab0-53e9-4d6d-8909-b4db0d012d4b,1636,Industrial Park/Transportation Res Ebnd,804,37.1936,-80.40028,0
8aebf47a-80ad-4e10-acf1-ff6d23bc2f87,1609,Fairfax/Ellett Ebnd,139,37.20866,-80.39672,0
fd581e6e-31bf-4809-98d8-64f770c27dc1,1610,Fairfax/New Kent Ebnd,140,37.209,-80.39606,0
06286679-0b1a-44eb-a3b9-6da725d37be1,1639,Main/Dowdy Nbnd,808,37.20199,-80.39948,0
b2061d7a-8011-43e8-9ed9-6d1a8cade4fa,1640,Main/S Hill Nbnd,809,37.20697,-80.39883,0
34d3cf89-ce9d-4871-961f-c172a1c7773c,1621,Main/Cohee Nbnd,151,37.21941,-80.40287,0
caa2c0db-b107-4421-86c0-a99456e7677d,1622,Main/Sunset Nbnd,152,37.22094,-80.40477,0
17c5fef1-9d30-4940-bc37-9dabc6b67335,1619,Main/Ardmore Nbnd,149,37.21419,-80.40033,0
c6f78a5d-bc7f-4509-804a-54c730645b15,1620,Blacksburg Square,150,37.21581,-80.40078,0
3b814740-777e-4ddf-82da-970ba10bdc05,1625,Main/Eakin Nbnd,155,37.2251,-80.40937,0
a9ad2032-4206-442a-942b-98b868a6d32a,1626,Main/Clay Nbnd,156,37.22676,-80.41118,0
6eea69df-f27d-43bf-9663-446546fa36b1,1623,Main/Graves Nbnd,153,37.22235,-80.40636,0
d347e906-1079-49bb-a416-9192c35efd3b,1624,Main/Hemlock Nbnd,154,37.22392,-80.40808,0
c3d5f685-fed4-464b-b597-a73c56b9ced7,1518,Roanoke/Woolwine Wbnd,219,37.23255,-80.40917,0
84a3b8c2-db25-41ec-a6bd-c879a4be4c91,1517,Harding/Cork Wbnd,218,37.2358,-80.4083,0
019d07ea-b191-44f9-95d4-d884c59944b5,1516,Harding/Patrick Henry Wbnd,216,37.23772,-80.40599,0
b40cfadf-237f-4550-a5c6-ae3e1753f48f,1521,Roanoke/Penn Wbnd,222,37.23039,-80.41238,0
800c6248-1b7b-48bf-9d8b-44160b2fc361,1520,Roanoke/Wharton Wbnd,221,37.23114,-80.41126,0
5e6eeeff-4841-464a-a077-1a28e53e79f6,1519,Roanoke/Rutledge Wbnd,220,37.23177,-80.41032,0
2fe16bb3-f6bf-4f14-9bc2-4666af088a66,1515,Harding/Apperson Wbnd,215,37.23848,-80.40446,0
41e08910-6bc4-4407-a7dd-274ff9787096,1501,Roanoke/Wharton Ebnd,201,37.23125,-80.4111,0
fdbbea13-bdf6-4cbe-9e2e-57b4f05f2c29,1500,Roanoke/Church Ebnd,200,37.23016,-80.41273,0
44002d9f-0a39-4539-88a8-dc9a4fd438ef,1511,Ascot/Hampton,211,37.23922,-80.3982,0
6187778d-a2ea-4330-b5b4-eb8523c29b18,1510,Ascot/Harding Ebnd,210,37.24149,-80.39922,0
02c4ab54-77a3-41c6-aad2-48bc47fc4ea4,1509,Harding/Roanoke Ebnd,209,37.24044,-80.40053,0
5e5563c2-d1db-4a1f-9c82-86c88f4751a8,1514,Harding/Sutton Wbnd,214,37.23919,-80.40305,0
38ba3d3c-6413-4466-9c83-2e2e63f42792,1513,Harding/Rucker Wbnd,213,37.24041,-80.40059,0
f16d5405-a561-481f-bf50-8f97c03647a1,1512,Ascot/Harding Wbnd,212,37.24137,-80.39899,0
3f8820a7-f7ad-40ba-9331-f47ad0bd4c4f,1508,Harding/Vista Ebnd,208,37.23922,-80.40298,0
fc010cf1-277b-48cb-84b6-7e061d67cd76,1504,Harding/Owens Ebnd,204,37.23549,-80.40858,0
26f4cc29-f18d-4c03-9a22-a2dd5b5c53cb,1503,Roanoke/Woolwine Ebnd,203,37.23269,-80.40897,0
2e9c2fec-501d-49d0-8bbf-f82cd8658596,1502,Roanoke/Rutledge Ebnd,202,37.23181,-80.41026,0
705b0319-763b-443b-aaa7-2246d3a52e68,1507,Harding/Apperson Ebnd,207,37.23857,-80.40427,0
6ece034e-abfa-4af4-98bc-c7480a6d7fc7,1506,Harding/Patrick Henry Ebnd,206,37.23777,-80.40588,0
14201e09-401f-4dc5-a385-c0e3e702fbe3,1505,Harding/Cork Ebnd,205,37.23663,-80.40758,0
792accd7-8d66-4b60-83e2-14d47d81817a,1713,Research Ctr/N Knollwood Nbnd,817,37.20264,-80.40584,0
ca535ac4-2852-4435-a300-18bde4a8ca53,1705,Pratt Dr/Andrews Bldg Sbnd,763,37.20369,-80.41245,0
